,Homo,Pan,Musa,Zea,Ficus,Arachis,Citrus,Cannabis,Corchorus,Population
242,100.0,4162.0,0,6,238,41,1590,8342,88298,Chimpanzee
243,51.0,955.0,0,2,75,34,1249,4972,42098,Chimpanzee
244,307.0,483.0,1,5,26,44,2375,5073,35265,Chimpanzee
245,24.0,204.0,1,16,42,8,741,2287,0,Chimpanzee
246,44.0,896.0,0,15,4,26,988,3592,34611,Chimpanzee
247,175.0,1953.0,339,0,1042,63,1471,4714,49205,Chimpanzee
248,52.0,584.0,0,4,199,45,2660,6317,57381,Chimpanzee
249,99.0,943.0,2,0,1975,32,2967,5142,52246,Chimpanzee
250,0.0,743.0,2,2,4,14,1839,6241,77787,Chimpanzee
251,75.0,875.0,0,0,9,52,1801,6308,0,Chimpanzee
252,177.0,957.0,0,4,148,20,1427,5666,67659,Chimpanzee
253,133.0,1717.0,0,21,167,23,1309,4177,39930,Chimpanzee
254,0.0,366.0,0,15,4575,30,1592,5524,150527,Chimpanzee
255,262.0,480.0,0,36,114,72,4701,8383,39270,Chimpanzee
256,74.0,508.0,0,1,51,34,1754,5762,33192,Chimpanzee
257,54.0,1132.0,0,34,156,107,2220,9832,87083,Chimpanzee
258,117.0,785.0,308,18,177,223,2796,12539,61841,Chimpanzee
259,0.0,1188.0,0,2,503,28,1581,6201,60268,Chimpanzee
260,142.0,1344.0,0,5,150,58,1635,8199,59903,Chimpanzee
261,280.0,802.0,0,15,781,93,3109,7231,44556,Chimpanzee
262,69.0,2514.0,0,44,1553,136,2320,8132,97420,Chimpanzee
263,62.0,1388.0,7,8,62,101,1515,11766,50958,Chimpanzee
264,61.0,2516.0,0,2,17,28,1347,6839,72117,Chimpanzee
265,44.0,5679.0,0,6,93,53,839,6104,62422,Chimpanzee
266,305.0,8269.0,0,10,2243,66,2668,7795,51886,Chimpanzee
267,279.0,9193.0,3883,146,0,1450,11073,13561,433969,Chimpanzee
268,77.0,1885.0,0,16,354,33,2409,11283,114899,Chimpanzee
269,97.0,1800.0,0,2,252,128,1620,9885,125679,Chimpanzee
270,77.0,1083.0,0,0,30,24,1423,9751,138343,Chimpanzee
271,83.0,951.0,0,0,10,10,1168,6753,92057,Chimpanzee
272,166.0,1129.0,0,5,82,103,1681,11197,156558,Chimpanzee
273,106.0,763.0,0,7,190,12,1161,6589,75293,Chimpanzee
274,165.0,2655.0,0,0,63,95,1488,15015,109911,Chimpanzee
275,0.0,3958.0,0,5,1,13,2013,11942,163913,Chimpanzee
276,45.0,1123.0,0,5,12,191,2504,9134,108582,Chimpanzee
277,125.0,1869.0,0,4,148,42,1660,10649,145005,Chimpanzee
281,138.0,3482.0,0,23,13819,135,4853,24477,303772,Chimpanzee
282,69.0,6543.0,0,3,48,38,1204,8614,104769,Chimpanzee
283,388.0,961.0,0,27,96,506,2774,11671,120641,Chimpanzee
284,125.0,1989.0,0,0,13,168,2165,13768,181632,Chimpanzee
285,488.0,8909.0,0,15,256,1088,9871,77460,2092931,Chimpanzee
286,84.0,2713.0,802,7,22,26,1716,8003,102530,Chimpanzee
287,102.0,6052.0,2906,33,2999,1073,7741,41409,517687,Chimpanzee
288,302.0,1073.0,0,3,106,45,1472,11743,121853,Chimpanzee
289,162.0,4384.0,0,4,428,109,1457,11901,151293,Chimpanzee
290,212.0,2057.0,0,86,7,926,4579,19410,289298,Chimpanzee
291,142.0,4075.0,1,56,368,1174,4574,23911,325297,Chimpanzee
292,92.0,1035.0,0,20,411,33,1909,8803,64087,Chimpanzee
295,230.0,238.0,1,26,0,62,1665,11203,164897,Chimpanzee
296,76.0,734.0,0,2,494,14,1469,8243,108891,Chimpanzee
297,133.0,3109.0,0,0,2356,136,2166,15014,234614,Chimpanzee
